alacritty 0.10.1-1
alsa-utils 1.2.6-1
amd-ucode 20220309.cd01f85-1
android-studio 2021.1.1.22-1
android-tools 31.0.3-3
android-udev 20220102-1
aosp-devel 0.8-1
aria2 1.36.0-1
arj 3.10.22-13
autoconf 2.71-1
automake 1.16.5-1
axel 2.17.11-1
baobab 42.0-0.2
base 2-2
binutils 2.38-3
bison 3.8.2-3
bluez-utils 5.64-2
btop 1.2.5-1
cabextract 1.9.1-2
cheese 41.1-2
cpio 2.13-2
detox 1.4.5-1
dhcpcd 9.4.1-1
discord_arch_electron 0.0.17-3
docbook-xsl 1.79.2-7
docker 1:20.10.14-1
efibootmgr 17-2
eog 42.0-0.1
epiphany 42.0-0.1
etcher-bin 1.7.8-1
evince 42.1-0.2
fakeroot 1.28-1
fcgu-mirrorlist 1-1
fetchcord r781.de98dee-1
file 5.41-1
file-roller 3.42.0-1
findutils 4.9.0-1
firefox-developer-edition 99.0b8-1
flex 2.6.4-3
gawk 5.1.1-1
gcc 11.2.0-4
gddccontrol 0.6.0-1
gdm 42.0-0.1
gedit 41.0-1
geekbench 5.4.4-1
gettext 0.21-2
git 2.35.1-1
gnome-backgrounds 42.0-0.2
gnome-books 40.0-1
gnome-boxes 42.0.1-1
gnome-calculator 42.0-0.2
gnome-calendar 42.0-0.1
gnome-characters 42.0-0.3
gnome-clocks 42.0-0.4
gnome-color-manager 3.36.0+r25+g4aab8b59-1
gnome-contacts 42.0-0.3
gnome-control-center 42.0-0.4
gnome-disk-utility 42.0-0.2
gnome-font-viewer 42.0-0.2
gnome-keyring 1:40.0-1
gnome-logs 42.0-0.1
gnome-maps 42.0-0.1
gnome-menus 3.36.0-1
gnome-music 1:42.0-0.1
gnome-photos 1:42.0-0.1
gnome-remote-desktop 42.0-0.1
gnome-screenshot 41.0-1
gnome-session 42.0-0.1
gnome-settings-daemon 42.1-0.2
gnome-shell 1:42.0-0.3
gnome-shell-extensions 42.0-0.1
gnome-software 42.0-0.1
gnome-system-monitor 42.0-0.1
gnome-terminal 3.44.0-0.1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-tweaks 42.beta.0-2
gnome-user-docs 42.0-0.1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 42.0-0.3
